Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
8,ALL,Glenn Maxwell,PBKS,X_FACTOR_SUBSTITUTE,15
7,ALL,Marcus Stoinis,PBKS,PLAYING,7
7.5,ALL,Liam Livingstone,RCB,NOT_PLAYING,0
8,ALL,Krunal Pandya,RCB,PLAYING,7
6.5,ALL,Azmatullah Omarzai,PBKS,NOT_PLAYING,0
6,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
6.5,ALL,Romario Shepherd,RCB,PLAYING,4
6,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14
8,ALL,Marco Jansen,PBKS,PLAYING,8
5.5,ALL,Musheer Khan,PBKS,NOT_PLAYING,0
5.5,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
9,WK,Philip Salt,RCB,PLAYING,2
7,WK,Josh Inglis,PBKS,PLAYING,4
7.5,WK,Jitesh Sharma,RCB,PLAYING,5
6,WK,Vishnu Vinod,PBKS,NOT_PLAYING,0
7.5,WK,Prabhsimran Singh,PBKS,PLAYING,1
9,BAT,Virat Kohli,RCB,PLAYING,1
9,BAT,Shreyas Iyer,PBKS,PLAYING,3
7,BAT,Shashank Singh,PBKS,PLAYING,6
8.5,BAT,Rajat Patidar,RCB,PLAYING,3
7,BAT,Devdutt Padikkal,RCB,X_FACTOR_SUBSTITUTE,12
7.5,BAT,Tim David,RCB,PLAYING,6
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,5
7.5,BAT,Priyansh Arya,PBKS,PLAYING,2
5.5,BAT,Suryansh Shedge,PBKS,X_FACTOR_SUBSTITUTE,16
5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
6.5,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
5.5,BAT,Swastik Chikara,RCB,NOT_PLAYING,0
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,8
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
8.5,BOWL,Yuzvendra Chahal,PBKS,PLAYING,11
6.5,BOWL,Yash Thakur,PBKS,NOT_PLAYING,0
5.5,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,14
6.5,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
6.5,BOWL,Xavier Bartlett,PBKS,PLAYING,9
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,10
7,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
7.5,BOWL,Yash Dayal,RCB,PLAYING,11
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
5.5,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
6,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,12
6.5,BOWL,Suyash Sharma,RCB,PLAYING,9
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
